code,abbr,name
37,AD,Andhra Pradesh
36,TS,Telangana
34,PY,Pondicherry
33,TN,Tamil Nadu
32,KL,Kerala
31,LD,Lakshadweep Islands
30,GA,Goa
29,KA,Karnataka
27,MH,Maharashtra
24,GJ,Gujarat
23,MP,Madhya Pradesh
22,CG,Chattisgarh
21,OD,Odisha
20,JH,Jharkhand
19,WB,West Bengal
18, AS ,Assam
17, ML ,Megalaya
16, TR ,Tripura
15, MZ ,Mizoram
14, MN ,Manipur
13, NL ,Nagaland
12, AR ,Arunachal Pradesh
11, SK ,Sikkim
10, BR ,Bihar
09, UP ,Uttar Pradesh
08, RJ ,Rajasthan
07, DL ,Delhi
06, HR ,Haryana
05, UK ,Uttara khand
03, PB,Punjab
02 ,HP,Himachal Pradesh
01, JK,Jammu and Kashmir
